ticker,company_name,sector
CHTR,Charter Communications Inc.,Communication Services
WBA,Walgreens Boots Alliance Inc.,Consumer Staples
MCK,McKesson Corporation,Health Care
CAH,Cardinal Health Inc.,Health Care
CNC,Centene Corporation,Health Care
HUM,Humana Inc.,Health Care
MDT,Medtronic plc,Health Care
MRNA,Moderna Inc.,Health Care
SPG,Simon Property Group Inc.,Real Estate
O,Realty Income Corporation,Real Estate
AVB,AvalonBay Communities Inc.,Real Estate
EQR,Equity Residential,Real Estate
WELL,Welltower Inc.,Real Estate
VTR,Ventas Inc.,Real Estate
ARE,Alexandria Real Estate Equities Inc.,Real Estate
BXP,BXP Inc.,Real Estate
AWK,American Water Works Company Inc.,Utilities
XEL,Xcel Energy Inc.,Utilities
WEC,WEC Energy Group Inc.,Utilities
ETR,Entergy Corporation,Utilities
PPL,PPL Corporation,Utilities
EIX,Edison International,Utilities
ES,Eversource Energy,Utilities
PNC,PNC Financial Services Group Inc.,Financials
MTB,M&T Bank Corporation,Financials
FITB,Fifth Third Bancorp,Financials
KEY,KeyCorp,Financials
ZION,Zions Bancorporation N.A.,Financials
SCHW,The Charles Schwab Corporation,Financials
CME,CME Group Inc.,Financials
